index,Date,Cas positifs,Cas décédés,Cas rétablis,Nouveaux cas,Nouveaux deces,Nouveaux gueris
0,1/22/20,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0
40,3/2/20,1,0,0,1,0,0
41,3/3/20,1,0,0,0,0,0
42,3/4/20,1,0,0,0,0,0
43,3/5/20,2,0,0,1,0,0
44,3/6/20,2,0,0,0,0,0
45,3/7/20,2,0,0,0,0,0
46,3/8/20,2,0,0,0,0,0
47,3/9/20,2,0,0,0,0,0
48,3/10/20,3,1,0,1,1,0
49,3/11/20,5,1,0,2,0,0
50,3/12/20,6,1,0,1,0,0
51,3/13/20,7,1,1,1,0,1
52,3/14/20,17,1,1,10,0,0
53,3/15/20,28,1,1,11,0,0
54,3/16/20,29,1,1,1,0,0
55,3/17/20,38,2,1,9,1,0
56,3/18/20,49,2,1,11,0,0
57,3/19/20,63,2,1,14,0,0
58,3/20/20,77,3,1,14,1,0
59,3/21/20,96,3,3,19,0,2
60,3/22/20,115,4,3,19,1,0
61,3/23/20,143,4,3,28,0,0
62,3/24/20,170,5,6,27,1,3
63,3/25/20,225,6,7,55,1,1
64,3/26/20,275,11,8,50,5,1
65,3/27/20,345,23,11,70,12,3
66,3/28/20,402,25,11,57,2,0
67,3/29/20,479,26,13,77,1,2
68,3/30/20,556,33,15,77,7,2
69,3/31/20,617,36,24,61,3,9
70,4/1/20,654,39,29,37,3,5
71,4/2/20,708,44,31,54,5,2
72,4/3/20,791,48,57,83,4,26
73,4/4/20,919,59,66,128,11,9
74,4/5/20,1021,70,76,102,11,10
75,4/6/20,1120,80,81,99,10,5
76,4/7/20,1184,90,93,64,10,12
77,4/8/20,1275,93,97,91,3,4
78,4/9/20,1374,97,109,99,4,12
79,4/10/20,1448,107,122,74,10,13
80,4/11/20,1545,111,146,97,4,24
81,4/12/20,1661,118,177,116,7,31
82,4/13/20,1763,126,203,102,8,26
83,4/14/20,1888,126,217,125,0,14
84,4/15/20,2024,127,229,136,1,12
85,4/16/20,2283,130,249,259,3,20
86,4/17/20,2564,135,281,281,5,32
87,4/18/20,2685,137,314,121,2,33
88,4/19/20,2855,141,327,170,4,13
89,4/20/20,3046,143,350,191,2,23
90,4/21/20,3209,145,393,163,2,43
91,4/22/20,3446,149,417,237,4,24
92,4/23/20,3568,155,456,122,6,39
93,4/24/20,3758,158,486,190,3,30
94,4/25/20,3897,159,537,139,1,51
95,4/26/20,4065,161,593,168,2,56
96,4/27/20,4120,162,695,55,1,102
97,4/28/20,4252,165,778,132,3,83
98,4/29/20,4321,168,928,69,3,150
99,4/30/20,4423,170,984,102,2,56
100,5/1/20,4569,171,1083,146,1,99
101,5/2/20,4729,173,1256,160,2,173
102,5/3/20,4903,174,1438,174,1,182
103,5/4/20,5053,179,1653,150,5,215
104,5/5/20,5219,181,1838,166,2,185
105,5/6/20,5408,183,2017,189,2,179
106,5/7/20,5548,183,2179,140,0,162
107,5/8/20,5711,186,2324,163,3,145
108,5/9/20,5910,186,2461,199,0,137
109,5/10/20,6063,188,2554,153,2,93
110,5/11/20,6281,188,2811,218,0,257
111,5/12/20,6418,188,2991,137,0,180
112,5/13/20,6512,188,3131,94,0,140
113,5/14/20,6607,190,3310,95,2,179
114,5/15/20,6652,190,3400,45,0,90
115,5/16/20,6741,192,3487,89,2,87
116,5/17/20,6870,192,3660,129,0,173
117,5/18/20,6952,192,3758,82,0,98
118,5/19/20,7023,193,3901,71,1,143
119,5/20/20,7133,194,4098,110,1,197
120,5/21/20,7211,196,4280,78,2,182
121,5/22/20,7332,197,4377,121,1,97
122,5/23/20,7406,198,4638,74,1,261
123,5/24/20,7433,199,4703,27,1,65
124,5/25/20,7532,200,4774,99,1,71
125,5/26/20,7577,202,4881,45,2,107
126,5/27/20,7601,202,4978,24,0,97
127,5/28/20,7643,202,5195,42,0,217
128,5/29/20,7714,202,5271,71,0,76
129,5/30/20,7780,204,5401,66,2,130
130,5/31/20,7807,205,5459,27,1,58
131,6/1/20,7833,205,5893,26,0,434
132,6/2/20,7866,206,6410,33,1,517
133,6/3/20,7922,206,6866,56,0,456
134,6/4/20,8003,208,7195,81,2,329
135,6/5/20,8071,208,7268,68,0,73
136,6/6/20,8151,208,7315,80,0,47
137,6/7/20,8224,208,7364,73,0,49
138,6/8/20,8302,208,7408,78,0,44
139,6/9/20,8437,210,7493,135,2,85
140,6/10/20,8508,211,7565,71,1,72
141,6/11/20,8537,211,7583,29,0,18
142,6/12/20,8610,212,7618,73,1,35
143,6/13/20,8692,212,7696,82,0,78
144,6/14/20,8793,212,7765,101,0,69
145,6/15/20,8885,212,7828,92,0,63
146,6/16/20,8931,212,7937,46,0,109
147,6/17/20,8997,213,7993,66,1,56
148,6/18/20,9074,213,8041,77,0,48
149,6/19/20,9613,213,8117,539,0,76
150,6/20/20,9839,213,8223,226,0,106
151,6/21/20,9977,214,8284,138,1,61
152,6/22/20,10172,214,8366,195,0,82
153,6/23/20,10344,214,8407,172,0,41
154,6/24/20,10907,216,8468,563,2,61
155,6/25/20,11338,217,8500,431,1,32
156,6/26/20,11633,218,8656,295,1,156
157,6/27/20,11877,220,8723,244,2,67
158,6/28/20,12052,221,8740,175,1,17
159,6/29/20,12290,225,8833,238,4,93
160,6/30/20,12533,228,8920,243,3,87
161,7/1/20,12636,228,9026,103,0,106
162,7/2/20,12969,229,9090,333,1,64
163,7/3/20,13288,230,9160,319,1,70
164,7/4/20,13822,232,9329,534,2,169
165,7/5/20,14215,235,9725,393,3,396
166,7/6/20,14379,237,10173,164,2,448
167,7/7/20,14607,240,10639,228,3,466
168,7/8/20,14771,242,11316,164,2,677
169,7/9/20,15079,242,11447,308,0,131
170,7/10/20,15328,243,11827,249,1,380
171,7/11/20,15542,245,12065,214,2,238
172,7/12/20,15745,250,12283,203,5,218
173,7/13/20,15936,255,12934,191,5,651
174,7/14/20,16097,257,13442,161,2,508
175,7/15/20,16262,259,13821,165,2,379
176,7/16/20,16545,263,13965,283,4,144
177,7/17/20,16726,264,14360,181,1,395
178,7/18/20,17015,269,14620,289,5,260
179,7/19/20,17236,273,14921,221,4,301
180,7/20/20,17562,276,15132,326,3,211
181,7/21/20,17742,280,15389,180,4,257
182,7/22/20,17962,285,15636,220,5,247
183,7/23/20,18264,292,15872,302,7,236
184,7/24/20,18834,299,16100,570,7,228
185,7/25/20,19645,305,16282,811,6,182
186,7/26/20,20278,313,16438,633,8,156
187,7/27/20,20887,316,16553,609,3,115
188,7/28/20,21387,327,17066,500,11,513
189,7/29/20,22213,334,17125,826,7,59
190,7/30/20,23259,346,17311,1046,12,186
191,7/31/20,24322,353,17658,1063,7,347
192,8/1/20,25015,367,17960,693,14,302
193,8/2/20,25537,382,18435,522,15,475
194,8/3/20,26196,401,18968,659,19,533
195,8/4/20,27217,417,19629,1021,16,661
196,8/5/20,28500,435,19994,1283,18,365
197,8/6/20,29644,449,20553,1144,14,559
198,8/7/20,30662,461,21548,1018,12,995
199,8/8/20,32007,480,22190,1345,19,642
200,8/9/20,33237,498,23347,1230,18,1157
201,8/10/20,34063,516,24524,826,18,1177
202,8/11/20,35195,533,25385,1132,17,861
203,8/12/20,36694,556,25677,1499,23,292
204,8/13/20,37935,584,26687,1241,28,1010
205,8/14/20,39241,611,27644,1306,27,957
206,8/15/20,41017,632,28566,1776,21,922
207,8/16/20,42489,658,29344,1472,26,778
208,8/17/20,43558,681,29941,1069,23,597
209,8/18/20,44803,714,31002,1245,33,1061
210,8/19/20,46313,743,31576,1510,29,574
211,8/20/20,47638,775,32806,1325,32,1230
212,8/21/20,49247,817,34199,1609,42,1393
213,8/22/20,50812,858,35040,1565,41,841
214,8/23/20,52349,888,36343,1537,30,1303
215,8/24/20,53252,920,37478,903,32,1135
216,8/25/20,54528,955,38293,1276,35,815
217,8/26/20,55864,984,40586,1336,29,2293
218,8/27/20,57085,1011,41901,1221,27,1315
219,8/28/20,58489,1052,43049,1404,41,1148
220,8/29/20,60056,1078,44618,1567,26,1569
221,8/30/20,61399,1111,46355,1343,33,1737
222,8/31/20,62590,1141,47595,1191,30,1240
223,9/1/20,63781,1184,48922,1191,43,1327
224,9/2/20,65453,1216,50357,1672,32,1435
225,9/3/20,66855,1253,51223,1402,37,866
226,9/4/20,68605,1292,52483,1750,39,1260
227,9/5/20,70160,1329,53929,1555,37,1446
228,9/6/20,72394,1361,55274,2234,32,1345
229,9/7/20,73780,1394,56096,1386,33,822
230,9/8/20,75721,1427,57239,1941,33,1143
231,9/9/20,77878,1453,59723,2157,26,2484
232,9/10/20,79767,1491,61850,1889,38,2127
233,9/11/20,82197,1524,64194,2430,33,2344
234,9/12/20,84435,1553,65867,2238,29,1673
235,9/13/20,86686,1578,67528,2251,25,1661
236,9/14/20,88203,1614,68970,1517,36,1442
237,9/15/20,90324,1648,71047,2121,34,2077
238,9/16/20,92016,1686,72968,1692,38,1921
239,9/17/20,94504,1714,74930,2488,28,1962
240,9/18/20,97264,1755,76690,2760,41,1760
241,9/19/20,99816,1795,79008,2552,40,2318
242,9/20/20,101743,1830,80732,1927,35,1724
243,9/21/20,103119,1855,84158,1376,25,3426
244,9/22/20,105346,1889,85883,2227,34,1725
245,9/23/20,107743,1918,88244,2397,29,2361
246,9/24/20,110099,1956,90186,2356,38,1942
247,9/25/20,112522,1998,91932,2423,42,1746
248,9/26/20,115241,2041,94150,2719,43,2218
249,9/27/20,117685,2069,95591,2444,28,1441
250,9/28/20,119107,2113,97468,1422,44,1877
251,9/29/20,121183,2152,100253,2076,39,2785
252,9/30/20,123653,2194,102715,2470,42,2462
253,10/1/20,126044,2229,104136,2391,35,1421
254,10/2/20,128565,2263,106044,2521,34,1908
255,10/3/20,131228,2293,108687,2663,30,2643
256,10/4/20,133272,2330,111036,2044,37,2349
257,10/5/20,134695,2369,113336,1423,39,2300
258,10/6/20,137248,2410,115354,2553,41,2018
259,10/7/20,140024,2439,118142,2776,29,2788
260,10/8/20,142953,2486,120275,2929,47,2133
261,10/9/20,146398,2530,123022,3445,44,2747
262,10/10/20,149841,2572,124854,3443,42,1832
263,10/11/20,152404,2605,127407,2563,33,2553
264,10/12/20,153761,2636,129498,1357,31,2091
265,10/13/20,156946,2685,131462,3185,49,1964
266,10/14/20,160333,2726,133959,3387,41,2497
267,10/15/20,163650,2772,136036,3317,46,2077
268,10/16/20,167148,2818,138989,3498,46,2953
269,10/17/20,170911,2878,141381,3763,60,2392
270,10/18/20,173632,2928,143972,2721,50,2591
271,10/19/20,175749,2976,146421,2117,48,2449
272,10/20/20,179003,3027,148838,3254,51,2417
273,10/21/20,182580,3079,151634,3577,52,2796
274,10/22/20,186731,3132,154481,4151,53,2847
275,10/23/20,190416,3205,157175,3685,73,2694
276,10/24/20,194461,3255,160372,4045,50,3197
277,10/25/20,197481,3301,163195,3020,46,2823
278,10/26/20,199745,3373,165922,2264,72,2727
279,10/27/20,203733,3445,168706,3988,72,2784
280,10/28/20,207718,3506,171591,3985,61,2885
281,10/29/20,212038,3572,174911,4320,66,3320
282,10/30/20,215294,3625,177925,3256,53,3014
283,10/31/20,219084,3695,181275,3790,70,3350
284,11/1/20,222544,3762,184313,3460,67,3038
285,11/2/20,225070,3826,187101,2526,64,2788
286,11/3/20,229565,3900,189909,4495,74,2808
287,11/4/20,235310,3982,193886,5745,82,3977
288,11/5/20,240951,4059,197215,5641,77,3329
289,11/6/20,246349,4127,200954,5398,68,3739
290,11/7/20,252185,4197,205556,5836,70,4602
291,11/8/20,256781,4272,209801,4596,75,4245
292,11/9/20,259951,4356,212905,3170,84,3104
293,11/10/20,265165,4425,216851,5214,69,3946
294,11/11/20,270626,4506,221743,5461,81,4892
295,11/12/20,276821,4570,226040,6195,64,4297
296,11/13/20,282336,4631,229160,5515,61,3120
297,11/14/20,288211,4697,234904,5875,66,5744
298,11/15/20,293177,4779,238598,4966,82,3694
299,11/16/20,296189,4850,243359,3012,71,4761
300,11/17/20,301604,4932,247594,5415,82,4235
301,11/18/20,306995,5013,253351,5391,81,5757
302,11/19/20,311554,5090,257992,4559,77,4641
303,11/20/20,316260,5182,262212,4706,92,4220
304,11/21/20,320962,5256,266711,4702,74,4499
305,11/22/20,324941,5316,270457,3979,60,3746
306,11/23/20,327528,5396,275158,2587,80,4701
307,11/24/20,331527,5469,279276,3999,73,4118
308,11/25/20,336506,5539,284496,4979,70,5220
